order_id,Date,Timestamp,placement,target_group,IP,time_difference_second,conv_time,category,source,state,vendor,type,creative_name_clean,device,language,audience,time_difference_min,time_difference_day,month,Right_time_difference_day,attribution_rate,Right_attribution_rate
791,12/10/2019,12/10/2019 15:32:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_IOSGMINMARKET_ENG1X1,U?,107.77.205.41,3715,2019-12-10 15:32:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,iOS English InMarket,iOS,English,InMarket,62,1,12,,,0.719861353570769
793,11/14/2019,11/14/2019 20:09:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSBELOW40_ENG1X1,U?,104.3.1.246,3732,2019-11-14 20:09:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS English Below40,iOS,English,Below40,63,1,11,,,0.71881078500839
794,11/26/2019,11/26/2019 19:55:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_IOSGMINMARKET_ENG1X1,U?,172.58.45.132,3741,2019-11-26 19:55:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,iOS English InMarket,iOS,English,InMarket,63,1,11,,,0.718255222502893
795,11/14/2019,11/14/2019 23:12:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_ANDROIDHBELOW40_SPA1X1,U?,107.242.113.21,3762,2019-11-14 23:12:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Android Spanish Below40,Android,Spanish,Below40,63,1,11,,,0.716960579263982
796,12/14/2019,12/14/2019 1:34:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_DESKTOPHINMARKET_SPA1X1,U?,172.58.109.77,3770,2019-12-14 01:34:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Desktop Spanish InMarket,Desktop,Spanish,InMarket,63,1,12,,,0.716467995887807
799,12/3/2019,12/3/2019 19:02:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_GMANDROIDBELOW40_ENG1X1,U?,172.58.109.22,3791,2019-12-03 19:02:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Android English Below40,Android,English,Below40,64,1,12,,,0.715176574095508
800,12/3/2019,12/3/2019 21:42:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_ANDROIDGMBELOW40_ENG1X1,U?,172.58.45.27,3829,2019-12-03 21:42:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,Android English Below40,Android,English,Below40,64,1,12,,,0.712845629802474
801,12/3/2019,12/3/2019 20:15:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_ANDROIDHBELOW40_SPA1X1,U?,172.58.109.97,3830,2019-12-03 20:15:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Android Spanish Below40,Android,Spanish,Below40,64,1,12,,,0.712784391864931
802,12/10/2019,12/10/2019 17:42:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSBELOW40_ENG1X1,U?,144.162.213.240,3832,2019-12-10 17:42:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS English Below40,iOS,English,Below40,64,1,12,,,0.712661931771568
803,11/14/2019,11/14/2019 4:35:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_ANDROIDINMARKET_ENG1X1,U?,99.203.91.55,3833,2019-11-14 04:35:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Android English InMarket,Android,English,InMarket,64,1,11,,,0.712600709614845
804,12/4/2019,12/4/2019 20:26:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_IOSGMBELOW40_ENG1X1,U?,107.77.205.54,3855,2019-12-04 20:26:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,iOS English Below40,iOS,English,Below40,65,1,12,,,0.71125515198762
806,12/9/2019,12/9/2019 18:29:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_ANDROIDINMARKET_ENG1X1,U?,107.242.113.5,3860,2019-12-09 18:29:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Android English InMarket,Android,English,InMarket,65,1,12,,,0.710949697945672
807,11/29/2019,11/29/2019 21:25:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_ANDROIDINMARKET_ENG1X1,U?,172.58.111.175,3888,2019-11-29 21:25:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Android English InMarket,Android,English,InMarket,65,1,11,,,0.70924157791419
808,12/13/2019,12/13/2019 23:28:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSHINMARKET_SPA1X1,U?,107.77.221.123,3903,2019-12-13 23:28:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS Spanish InMarket,iOS,Spanish,InMarket,66,1,12,,,0.708328202391892
809,12/4/2019,12/4/2019 15:01:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSINMARKET_ENG1X1,U?,107.77.201.113,3908,2019-12-04 15:01:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS English InMarket,iOS,English,InMarket,66,1,12,,,0.708024005351151
810,12/11/2019,12/11/2019 6:00:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_GMANDROIDBELOW40_ENG1X1,U?,172.58.109.226,3909,2019-12-11 06:00:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Android English Below40,Android,English,Below40,66,1,12,,,0.707963181621572
811,11/23/2019,11/23/2019 2:27:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_IOSGMINMARKET_ENG1X1,U?,107.77.205.48,3921,2019-11-23 02:27:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,iOS English InMarket,iOS,English,InMarket,66,1,11,,,0.707233704299363
812,11/14/2019,11/14/2019 20:22:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_DESKTOPBELOW40_ENG1X1,U?,209.172.199.5,3923,2019-11-14 20:22:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Desktop English Below40,Desktop,English,Below40,66,1,11,,,0.707112197843208
813,11/20/2019,11/20/2019 0:50:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSHBELOW40_SPA1X1,U?,172.58.111.249,3933,2019-11-20 00:50:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS Spanish Below40,iOS,Spanish,Below40,66,1,11,,,0.706504978622404
814,11/13/2019,11/13/2019 16:43:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_DESKTOPGMINMARKET_ENG1X1,U?,170.173.0.16,3934,2019-11-13 16:43:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,Desktop English InMarket,Desktop,English,InMarket,66,1,11,,,0.706444285386806
815,11/26/2019,11/26/2019 19:37:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_DESKTOPHBELOW40_SPA1X1,U?,67.63.204.2,3936,2019-11-26 19:37:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Desktop Spanish Below40,Desktop,Spanish,Below40,66,1,11,,,0.706322914556958
816,12/15/2019,12/15/2019 1:24:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSBELOW40_ENG1X1,U?,174.255.131.228,3939,2019-12-15 01:24:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS English Below40,iOS,English,Below40,66,1,12,,,0.706140897408836
817,12/10/2019,12/10/2019 23:57:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_IOSGMBELOW40_ENG1X1,U?,172.58.43.222,3939,2019-12-10 23:57:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,iOS English Below40,iOS,English,Below40,66,1,12,,,0.706140897408836
818,11/28/2019,11/28/2019 0:05:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSHINMARKET_SPA1X1,U?,107.77.198.14,3948,2019-11-28 00:05:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS Spanish InMarket,iOS,Spanish,InMarket,66,1,11,,,0.705595127347535
819,12/5/2019,12/5/2019 6:05:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_IOSGMINMARKET_ENG1X1,U?,172.58.45.178,3950,2019-12-05 06:05:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,iOS English InMarket,iOS,English,InMarket,66,1,12,,,0.705473902407487
820,12/11/2019,12/11/2019 18:26:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_IOSGMINMARKET_ENG1X1,U?,172.58.45.246,3956,2019-12-11 18:26:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,iOS English InMarket,iOS,English,InMarket,66,1,12,,,0.70511035253551
821,11/28/2019,11/28/2019 1:42:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_IOSGMINMARKET_ENG1X1,U?,172.58.45.132,3980,2019-11-28 01:42:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,iOS English InMarket,iOS,English,InMarket,67,1,11,,,0.703658025553679
822,11/26/2019,11/26/2019 17:39:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_ANDROIDGMBELOW40_ENG1X1,U?,107.77.205.98,3982,2019-11-26 17:39:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,Android English Below40,Android,English,Below40,67,1,11,,,0.70353713341787
823,11/18/2019,11/18/2019 18:07:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_ANDROIDINMARKET_ENG1X1,U?,107.242.113.20,3993,2019-11-18 18:07:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Android English InMarket,Android,English,InMarket,67,1,11,,,0.702872597837258
824,11/27/2019,11/27/2019 1:19:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_DESKTOPHBELOW40_SPA1X1,U?,162.210.174.92,4000,2019-11-27 01:19:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Desktop Spanish Below40,Desktop,Spanish,Below40,67,1,11,,,0.702450038413112
825,12/2/2019,12/2/2019 19:20:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_ANDROIDGMINMARKET_ENG1X1,U?,172.58.45.236,4000,2019-12-02 19:20:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,Android English InMarket,Android,English,InMarket,67,1,12,,,0.702450038413112
826,12/5/2019,12/5/2019 15:09:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_DESKTOPHBELOW40_SPA1X1,U?,206.203.80.254,4001,2019-12-05 15:09:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Desktop Spanish Below40,Desktop,Spanish,Below40,67,1,12,,,0.702389693522463
827,12/13/2019,12/13/2019 2:26:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSBELOW40_ENG1X1,U?,107.242.113.51,4001,2019-12-13 02:26:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS English Below40,iOS,English,Below40,67,1,12,,,0.702389693522463
828,12/9/2019,12/9/2019 22:19:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSHINMARKET_SPA1X1,U?,107.242.113.49,4002,2019-12-09 22:19:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS Spanish InMarket,iOS,Spanish,InMarket,67,1,12,,,0.702329353815822
829,11/13/2019,11/13/2019 21:35:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_DESKTOPGMINMARKET_ENG1X1,U?,164.116.47.226,4005,2019-11-13 21:35:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,Desktop English InMarket,Desktop,English,InMarket,67,1,11,,,0.702148365795486
830,12/6/2019,12/6/2019 1:23:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_DESKTOPGMINMARKET_ENG1X1,U?,38.102.2.65,4012,2019-12-06 01:23:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,Desktop English InMarket,Desktop,English,InMarket,67,1,12,,,0.701726241771832
831,12/3/2019,12/3/2019 18:40:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_ANDROIDINMARKET_ENG1X1,U?,172.58.111.42,4019,2019-12-03 18:40:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Android English InMarket,Android,English,InMarket,67,1,12,,,0.701304371524586
832,11/13/2019,11/13/2019 18:42:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_IOSGMBELOW40_ENG1X1,U?,172.58.45.230,4019,2019-11-13 18:42:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,iOS English Below40,iOS,English,Below40,67,1,11,,,0.701304371524586
833,12/3/2019,12/3/2019 23:38:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSBELOW40_ENG1X1,U?,172.58.45.175,4031,2019-12-03 23:38:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS English Below40,iOS,English,Below40,68,1,12,,,0.700581755365619
834,12/2/2019,12/2/2019 18:56:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_IOSGMINMARKET_ENG1X1,U?,172.58.45.88,4032,2019-12-02 18:56:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,iOS English InMarket,iOS,English,InMarket,68,1,12,,,0.700521570972273
835,11/23/2019,11/23/2019 4:46:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSINMARKET_ENG1X1,U?,172.58.109.64,4044,2019-11-23 04:46:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS English InMarket,iOS,English,InMarket,68,1,11,,,0.699799761402216
836,12/15/2019,12/15/2019 17:00:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_ANDROIDHINMARKET_SPA1X1,U?,99.203.87.39,4054,2019-12-15 17:00:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Android Spanish InMarket,Android,Spanish,InMarket,68,1,12,,,0.699198821597848
